,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
319,cayenne,78.1,1,-52.3333,4.9333,100,GF,2.3,1651882778
320,malakal,83.88,48,31.6605,9.5334,68,SS,3.94,1651882778
321,manta,80.38,83,-80.7333,-0.95,75,EC,1.14,1651882779
322,vila velha,76.95,69,-40.2925,-20.3297,75,BR,12.66,1651882780
323,salekhard,-0.4,93,66.6019,66.53,6,RU,1.39,1651882780
324,buritizeiro,72.39,71,-44.9622,-17.3511,19,BR,4.36,1651882781
325,hamilton,60.17,95,-84.5333,39.1834,100,US,9.22,1651882579
326,vanavara,41.97,71,102.2797,60.34,68,RU,4.32,1651882782
327,kudat,84.13,84,116.8477,6.8837,20,MY,5.75,1651882783
328,caravelas,74.66,87,-39.2481,-17.7125,77,BR,0.76,1651882784
329,hedaru,69.51,90,37.9,-4.5,100,TZ,5.14,1651882785
330,luderitz,56.23,88,15.1594,-26.6481,2,NA,14.94,1651882785
331,baiao,73.74,98,-49.6717,-2.7906,74,BR,1.45,1651882786
332,chinsali,58.51,97,32.0816,-10.5414,48,ZM,4.0,1651882787
333,carutapera,76.14,93,-46.02,-1.195,49,BR,6.53,1651882788
334,presidente medici,73.63,86,-61.9014,-11.1753,6,BR,2.06,1651882788
335,olafsvik,38.12,94,-23.7142,64.8945,99,IS,18.61,1651882789
336,havelock,74.64,86,-76.9013,34.8791,75,US,21.85,1651882790
337,techiman,71.17,90,-1.9414,7.5862,100,GH,2.04,1651882791
338,zhuanghe,56.48,21,122.9911,39.7008,42,CN,18.21,1651882791
339,buraydah,73.85,26,43.975,26.326,0,SA,11.74,1651882792
340,utete,70.59,96,38.758,-7.986,73,TZ,2.19,1651882793
341,cidreira,62.11,69,-50.2056,-30.1811,52,BR,1.25,1651882794
342,kaitangata,61.61,65,169.8464,-46.2817,89,NZ,4.18,1651882575
343,nakonde,54.52,97,32.745,-9.3421,84,ZM,3.89,1651882795
344,victoria,77.63,81,114.1577,22.2855,100,HK,5.01,1651882611
345,eufaula,79.86,54,-85.1455,31.8913,16,US,11.5,1651882644
346,fort nelson,53.19,30,-122.7002,58.8053,100,CA,13.8,1651882796
347,kailua,77.77,74,-157.7394,21.4022,100,US,14.97,1651882749
348,waiuku,67.35,77,174.75,-37.25,3,NZ,3.36,1651882798
349,bow island,66.15,19,-111.3684,49.8668,28,CA,31.07,1651882799
350,mahebourg,73.69,68,57.7,-20.4081,20,MU,6.91,1651882799
351,codrington,55.45,85,141.9667,-38.2667,83,AU,13.18,1651882800
352,werota,72.55,29,37.7,11.9167,7,ET,3.38,1651882801
353,hefei,75.22,57,117.2808,31.8639,0,CN,6.71,1651882802
354,san andres,82.42,83,-81.7006,12.5847,40,CO,5.75,1651882803
355,lasa,51.03,96,10.7002,46.6166,100,IT,3.62,1651882803
356,westport,50.83,94,-73.3579,41.1415,100,US,5.75,1651882648
357,nouadhibou,66.18,82,-17.0347,20.931,0,MR,13.8,1651882804
358,teluknaga,80.83,89,106.6381,-6.0989,20,ID,5.75,1651882805
359,hun,65.97,64,15.9477,29.1268,94,LY,15.59,1651882806
360,portland,55.67,86,-122.6762,45.5234,88,US,11.01,1651882739
361,chubbuck,65.57,42,-112.4661,42.9208,40,US,11.01,1651882807
362,viedma,58.48,60,-62.9967,-40.8135,80,AR,8.5,1651882808
363,finschhafen,85.37,69,147.8681,-6.6024,36,PG,9.37,1651882808
